Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Whitefield,3954.502692,2.707216124,2.743836602,Ready To Move,1,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,1,0,0,0,0,0,0,0,Class 24,11732343.69
Tumkur Road,1088,2,2,Oct-21,1,1088,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 11,5400000
Electronic City Phase I,500,1,1,Ready To Move,0,630,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,0,1,Class 9,4100000
Kaggadasapura,880,2,2,Ready To Move,1,1100,2019,1,Vitrified Tiles,Semi Furnished,0,0,0,1,0,0,1,0,Class 10,4700000
Kanakapura Road,1600,3,3,Ready To Move,0,1603,Under Construction,5,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 27,13500000
Mysore Road,811,2,2,Nov-23,1,1240,Under Construction,0,Vitrified Tiles,Semi Furnished,0,0,1,0,1,1,0,1,Class 16,8000000
Yeshwanthpur,1100,2,2,Ready To Move,0,1400,2014,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 22,11000000
Brookefield,1000,2,2,Ready To Move,0,1385,Under Construction,3,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,0,Class 19,9300000
Whitefield,935,3,3,Dec-23,1,1100,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,1,0,0,0,Class 12,5600000
Hebbal,6292,4,4,Ready To Move,0,7866,Under Construction,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,1,Class 254,127000000
Old Madras Road,912,2,2,Dec-22,1,1074,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,0,1,Class 10,4510000
Whitefield,1501,3,3,Dec-21,1,1767,Under Construction,2,Vitrified Tiles,Semi Furnished,1,1,1,0,0,0,1,1,Class 24,11600000
Yelahanka,1232,2,2,May-21,1,1450,Under Construction,5,Vitrified Tiles,Semi Furnished,1,1,1,1,1,1,0,0,Class 25,12500000
Koramangala,1596,3,3,Jan-22,1,1878,Under Construction,12,Vitrified Tiles,Semi Furnished,1,1,1,1,1,1,1,0,Class 34,16900000
Whitefield,1986,3,3,Aug-23,1,2337,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,1,0,1,1,1,Class 33,16200000
Sarjapur,1200,2.707216124,2.743836602,Ready To Move,0,8739.093929,Under Construction,0,Vitrified Tiles,Semi Furnished,0,1,1,0,0,0,0,0,Class 5,2500000
K R Puram,1303,2,2,Dec-21,1,1533,Under Construction,4,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,1,Class 18,8584000
Yelahanka New Town,3564,4,4,Ready To Move,1,4193,Under Construction,0,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,1,0,Class 54,26700000
Bannerghatta Road,1358,3,3,Dec-20,1,1598,Under Construction,18,Vitrified Tiles,Semi Furnished,1,1,0,1,0,1,1,0,Class 18,8629000
Kanakapura Road,3021,3,3,Dec-23,1,3554,Under Construction,15,Vitrified Tiles,Semi Furnished,1,1,1,1,0,0,1,1,Class 72,36000000
Off Sarjapur road,1389,3,3,Ready To Move,1,1635,2018,3,Vitrified Tiles,Semi Furnished,1,1,1,0,1,0,0,0,Class 16,7766000
Old Madras Road,1297,3,3,Ready To Move,1,1527,2019,3,Vitrified Tiles,Semi Furnished,1,1,1,0,1,0,0,1,Class 16,7635000
Jeevanbheema Nagar,2200,3,3,Ready To Move,1,2750,2019,0,Marble Flooring,Not Furnished,1,1,1,0,1,1,1,1,Class 60,30000000
Whitefield,10300,4,7,Ready To Move,0,12875,Under Construction,0,Marbonite,Fully Furnished,1,1,1,0,0,0,0,0,Class 400,200000000
Subramanyapura,985,2,2,Apr-21,1,1159,Under Construction,6,Vitrified Tiles,Semi Furnished,1,1,1,0,1,1,0,1,Class 15,7500000
Yeshwanthpur,1470,3,3,Ready To Move,0,1770,2014,4,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 28,14000000
Off Sarjapur road,3746,4,4,Ready To Move,1,4408,2018,3,Vitrified Tiles,Semi Furnished,0,1,1,0,1,1,1,1,Class 58,28800000
Whitefield,2040,3,3,Ready To Move,1,2040,2017,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 23,11200000
Whitefield,1180,2,2,Ready To Move,1,1180,2015,4,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 12,5800000
